,확진자,확진률,등록일시분초,치명률,사망자,사망률,"성별,연령별"
0,2426754,11,2022-08-12 08:50:49.948,0.00%,27,0,0-9
1,2736954,13,2022-08-12 08:50:49.948,0.00%,14,0,10-19
2,3164810,15,2022-08-12 08:50:49.948,0.00%,65,0,20-29
3,3116566,15,2022-08-12 08:50:49.948,0.00%,120,0,30-39
4,3249300,15,2022-08-12 08:50:49.948,0.01%,347,1,40-49
5,2643657,13,2022-08-12 08:50:49.947,0.04%,1062,4,50-59
6,2140537,10,2022-08-12 08:50:49.947,0.14%,3005,12,60-69
7,1023789,5,2022-08-12 08:50:49.947,0.57%,5869,23,70-79
8,609473,3,2022-08-12 08:50:49.947,2.46%,14990,59,80 이상
9,11208758,53,2022-08-12 08:50:49.946,0.12%,13076,51,여성
10,9903082,47,2022-08-12 08:50:49.946,0.13%,12423,49,남성
11,2416422,12,2022-08-11 09:13:09.583,0,27,0,0-9
12,2724110,13,2022-08-11 09:13:09.583,0,14,0,10-19
13,3143857,15,2022-08-11 09:13:09.582,0,65,0,20-29
14,3098306,15,2022-08-11 09:13:09.582,0,118,0,30-39
15,3230840,15,2022-08-11 09:13:09.582,0,346,1,40-49
16,2624780,13,2022-08-11 09:13:09.582,0,1060,4,50-59
17,2124703,10,2022-08-11 09:13:09.582,0,3002,12,60-69
18,1015272,5,2022-08-11 09:13:09.581,1,5854,23,70-79
19,604879,3,2022-08-11 09:13:09.581,2,14955,59,80 이상
20,11139116,53,2022-08-11 09:13:09.581,0,13042,51,여성
21,9844053,47,2022-08-11 09:13:09.581,0,12399,49,남성
22,2405668,12,2022-08-10 09:27:21.182,0,27,0,0-9
23,2710299,13,2022-08-10 09:27:21.182,0,14,0,10-19
24,3119496,15,2022-08-10 09:27:21.182,0,63,0,20-29
25,3078225,15,2022-08-10 09:27:21.182,0,118,0,30-39
26,3211236,15,2022-08-10 09:27:21.181,0,346,1,40-49
27,2605121,12,2022-08-10 09:27:21.181,0,1056,4,50-59
28,2108674,10,2022-08-10 09:27:21.181,0,2993,12,60-69
29,1006831,5,2022-08-10 09:27:21.18,1,5843,23,70-79
30,600423,3,2022-08-10 09:27:21.18,2,14922,59,80 이상
31,11064381,53,2022-08-10 09:27:21.18,0,13018,51,여성
32,9781592,47,2022-08-10 09:27:21.18,0,12364,49,남성
33,2394513,11.57,2022-08-09 09:08:21.725,0,27,0.11,0-9
34,2695624,13.03,2022-08-09 09:08:21.725,0,14,0.06,10-19
35,3093405,14.95,2022-08-09 09:08:21.725,0,63,0.25,20-29
36,3055468,14.76,2022-08-09 09:08:21.725,0,118,0.47,30-39
37,3188973,15.41,2022-08-09 09:08:21.724,0.01,345,1.36,40-49
38,2583169,12.48,2022-08-09 09:08:21.724,0.04,1053,4.16,50-59
39,2091028,10.1,2022-08-09 09:08:21.724,0.14,2989,11.80,60-69
40,997196,4.82,2022-08-09 09:08:21.724,0.59,5836,23.04,70-79
41,594863,2.87,2022-08-09 09:08:21.724,2.5,14887,58.77,80 이상
42,10982571,53.07,2022-08-09 09:08:21.723,0.12,12993,51.29,여성
43,9711668,46.93,2022-08-09 09:08:21.723,0.13,12339,48.71,남성
44,2383440,11.6,2022-08-08 09:05:07.235,0,27,0.11,0-9
45,2682112,13.06,2022-08-08 09:05:07.235,0,14,0.06,10-19
46,3069182,14.94,2022-08-08 09:05:07.235,0,63,0.25,20-29
47,3032495,14.76,2022-08-08 09:05:07.235,0,117,0.46,30-39
48,3165091,15.41,2022-08-08 09:05:07.235,0.01,344,1.36,40-49
49,2559890,12.46,2022-08-08 09:05:07.234,0.04,1052,4.16,50-59
50,2074025,10.1,2022-08-08 09:05:07.234,0.14,2985,11.80,60-69
51,987886,4.81,2022-08-08 09:05:07.234,0.59,5828,23.04,70-79
52,590299,2.87,2022-08-08 09:05:07.234,2.52,14862,58.76,80 이상
53,10902161,53.07,2022-08-08 09:05:07.234,0.12,12975,51.30,여성
54,9642259,46.93,2022-08-08 09:05:07.233,0.13,12317,48.70,남성
55,2377929,12,2022-08-07 09:12:28.95,0.00%,27,0,0-9
56,2676711,13,2022-08-07 09:12:28.95,0.00%,14,0,10-19
57,3060484,15,2022-08-07 09:12:28.95,0.00%,63,0,20-29
58,3023664,15,2022-08-07 09:12:28.95,0.00%,117,0,30-39
59,3156354,15,2022-08-07 09:12:28.949,0.01%,343,1,40-49
60,2552173,12,2022-08-07 09:12:28.949,0.04%,1051,4,50-59
61,2068071,10,2022-08-07 09:12:28.949,0.14%,2983,12,60-69
62,985044,5,2022-08-07 09:12:28.949,0.59%,5822,23,70-79
63,588698,3,2022-08-07 09:12:28.949,2.52%,14843,59,80 이상
64,10873408,53,2022-08-07 09:12:28.948,0.12%,12959,51,여성
65,9615720,47,2022-08-07 09:12:28.948,0.13%,12304,49,남성
66,2369349,12,2022-08-06 09:42:16.938,0.00%,27,0,0-9
67,2666100,13,2022-08-06 09:42:16.938,0.00%,14,0,10-19
68,3044362,15,2022-08-06 09:42:16.938,0.00%,63,0,20-29
69,3008475,15,2022-08-06 09:42:16.938,0.00%,116,0,30-39
70,3140628,15,2022-08-06 09:42:16.937,0.01%,342,1,40-49
71,2536214,12,2022-08-06 09:42:16.937,0.04%,1051,4,50-59
72,2055442,10,2022-08-06 09:42:16.937,0.14%,2980,12,60-69
73,978104,5,2022-08-06 09:42:16.937,0.59%,5817,23,70-79
74,584947,3,2022-08-06 09:42:16.936,2.53%,14826,59,80 이상
75,10816417,53,2022-08-06 09:42:16.936,0.12%,12949,51,여성
76,9567204,47,2022-08-06 09:42:16.935,0.13%,12287,49,남성
77,2360434,12,2022-08-05 08:21:48.41,0,27,0,0-9
78,2654767,13,2022-08-05 08:21:48.41,0,14,0,10-19
79,3026434,15,2022-08-05 08:21:48.41,0,63,0,20-29
80,2992516,15,2022-08-05 08:21:48.41,0,115,0,30-39
81,3124110,15,2022-08-05 08:21:48.409,0,342,1,40-49
82,2520049,12,2022-08-05 08:21:48.409,0,1050,4,50-59
83,2042448,10,2022-08-05 08:21:48.409,0,2975,12,60-69
84,971230,5,2022-08-05 08:21:48.409,1,5807,23,70-79
85,581023,3,2022-08-05 08:21:48.409,3,14798,59,80 이상
86,10756965,53,2022-08-05 08:21:48.408,0,12925,51,여성
87,9516046,47,2022-08-05 08:21:48.408,0,12266,49,남성
88,2351317,11.66,2022-08-04 09:00:34.45,0,27,0.11,0-9
89,2642978,13.11,2022-08-04 09:00:34.45,0,14,0.06,10-19
90,3007348,14.92,2022-08-04 09:00:34.449,0,63,0.25,20-29
91,2975938,14.76,2022-08-04 09:00:34.449,0,115,0.46,30-39
92,3107458,15.41,2022-08-04 09:00:34.449,0.01,341,1.36,40-49
93,2503619,12.42,2022-08-04 09:00:34.449,0.04,1045,4.16,50-59
94,2029527,10.07,2022-08-04 09:00:34.449,0.15,2969,11.81,60-69
95,964593,4.78,2022-08-04 09:00:34.448,0.6,5795,23.05,70-79
96,577376,2.86,2022-08-04 09:00:34.448,2.56,14775,58.76,80 이상
97,10695921,53.05,2022-08-04 09:00:34.448,0.12,12901,51.31,여성
98,9464233,46.95,2022-08-04 09:00:34.448,0.13,12243,48.69,남성
99,2343532,11.69,2022-08-03 09:03:52.82,0,27,0.11,0-9
100,2632281,13.13,2022-08-03 09:03:52.82,0,14,0.06,10-19
101,2987809,14.9,2022-08-03 09:03:52.82,0,63,0.25,20-29
102,2959748,14.76,2022-08-03 09:03:52.82,0,114,0.45,30-39
103,3091110,15.42,2022-08-03 09:03:52.82,0.01,340,1.35,40-49
104,2487910,12.41,2022-08-03 09:03:52.819,0.04,1042,4.15,50-59
105,2017250,10.06,2022-08-03 09:03:52.819,0.15,2964,11.80,60-69
106,958498,4.78,2022-08-03 09:03:52.819,0.6,5789,23.05,70-79
107,574167,2.86,2022-08-03 09:03:52.819,2.57,14757,58.77,80 이상
108,10637389,53.05,2022-08-03 09:03:52.819,0.12,12879,51.29,여성
109,9414916,46.95,2022-08-03 09:03:52.818,0.13,12231,48.71,남성
110,2334636,11.71,2022-08-02 09:03:50.317,0,27,0.11,0-9
111,2620355,13.15,2022-08-02 09:03:50.317,0,14,0.06,10-19
112,2966731,14.88,2022-08-02 09:03:50.317,0,63,0.25,20-29
113,2941668,14.76,2022-08-02 09:03:50.317,0,113,0.45,30-39
114,3072901,15.42,2022-08-02 09:03:50.316,0.01,339,1.35,40-49
115,2470589,12.39,2022-08-02 09:03:50.316,0.04,1041,4.15,50-59
116,2003828,10.05,2022-08-02 09:03:50.316,0.15,2962,11.81,60-69
117,951572,4.77,2022-08-02 09:03:50.316,0.61,5783,23.05,70-79
118,570159,2.86,2022-08-02 09:03:50.316,2.59,14742,58.77,80 이상
119,10572262,53.04,2022-08-02 09:03:50.315,0.12,12865,51.29,여성
120,9360177,46.96,2022-08-02 09:03:50.315,0.13,12219,48.71,남성
121,2326330,11.74,2022-08-01 09:00:35.727,0,27,0.11,0-9
122,2609680,13.17,2022-08-01 09:00:35.727,0,14,0.06,10-19
123,2948027,14.87,2022-08-01 09:00:35.727,0,63,0.25,20-29
124,2923986,14.75,2022-08-01 09:00:35.726,0,113,0.45,30-39
125,3054685,15.41,2022-08-01 09:00:35.726,0.01,339,1.35,40-49
126,2453954,12.38,2022-08-01 09:00:35.726,0.04,1040,4.15,50-59
127,1991707,10.05,2022-08-01 09:00:35.726,0.15,2961,11.81,60-69
128,945126,4.77,2022-08-01 09:00:35.726,0.61,5778,23.05,70-79
129,567244,2.86,2022-08-01 09:00:35.725,2.6,14733,58.77,80 이상
130,10511727,53.03,2022-08-01 09:00:35.725,0.12,12856,51.28,여성
131,9309012,46.97,2022-08-01 09:00:35.725,0.13,12212,48.72,남성
132,2321318,11.74,2022-07-31 08:58:13.267,0,27,0.11,0-9
133,2604518,13.17,2022-07-31 08:58:13.266,0,14,0.06,10-19
134,2940844,14.87,2022-07-31 08:58:13.266,0,62,0.25,20-29
135,2917012,14.75,2022-07-31 08:58:13.266,0,113,0.45,30-39
136,3047707,15.41,2022-07-31 08:58:13.266,0.01,338,1.35,40-49
137,2448328,12.38,2022-07-31 08:58:13.266,0.04,1039,4.15,50-59
138,1987217,10.05,2022-07-31 08:58:13.266,0.15,2961,11.82,60-69
139,943012,4.77,2022-07-31 08:58:13.265,0.61,5772,23.04,70-79
140,566094,2.86,2022-07-31 08:58:13.265,2.6,14721,58.77,80 이상
141,10488030,53.03,2022-07-31 08:58:13.265,0.12,12846,51.29,여성
142,9288020,46.97,2022-07-31 08:58:13.264,0.13,12201,48.71,남성
143,2315283,11.75,2022-07-30 07:42:17.487,0,27,0.11,0-9
144,2596919,13.18,2022-07-30 07:42:17.487,0,14,0.06,10-19
145,2929200,14.87,2022-07-30 07:42:17.487,0,62,0.25,20-29
146,2906322,14.75,2022-07-30 07:42:17.487,0,113,0.45,30-39
147,3036102,15.41,2022-07-30 07:42:17.487,0.01,338,1.35,40-49
148,2437538,12.37,2022-07-30 07:42:17.486,0.04,1037,4.14,50-59
149,1978719,10.04,2022-07-30 07:42:17.486,0.15,2960,11.83,60-69
150,938514,4.76,2022-07-30 07:42:17.486,0.61,5764,23.03,70-79
151,563864,2.86,2022-07-30 07:42:17.486,2.61,14712,58.78,80 이상
152,10448179,53.03,2022-07-30 07:42:17.485,0.12,12841,51.31,여성
153,9254282,46.97,2022-07-30 07:42:17.485,0.13,12186,48.69,남성
154,2308297,11.76,2022-07-29 08:59:04.073,0,27,0.11,0-9
155,2588060,13.19,2022-07-29 08:59:04.073,0,13,0.05,10-19
156,2914749,14.86,2022-07-29 08:59:04.073,0,62,0.25,20-29
157,2894299,14.75,2022-07-29 08:59:04.073,0,113,0.45,30-39
158,3023850,15.41,2022-07-29 08:59:04.073,0.01,338,1.35,40-49
159,2426107,12.37,2022-07-29 08:59:04.073,0.04,1035,4.14,50-59
160,1969737,10.04,2022-07-29 08:59:04.072,0.15,2954,11.82,60-69
161,933947,4.76,2022-07-29 08:59:04.072,0.62,5758,23.04,70-79
162,561471,2.86,2022-07-29 08:59:04.072,2.62,14692,58.79,80 이상
163,10404064,53.03,2022-07-29 08:59:04.072,0.12,12821,51.30,여성
164,9216453,46.97,2022-07-29 08:59:04.071,0.13,12171,48.70,남성
165,2301248,12,2022-07-28 08:49:57.611,0,27,0,0-9
166,2578276,13,2022-07-28 08:49:57.611,0,13,0,10-19
167,2899302,15,2022-07-28 08:49:57.611,0,62,0,20-29
168,2881501,15,2022-07-28 08:49:57.61,0,113,0,30-39
169,3011030,15,2022-07-28 08:49:57.61,0,338,1,40-49
170,2414328,12,2022-07-28 08:49:57.61,0,1033,4,50-59
171,1960879,10,2022-07-28 08:49:57.61,0,2952,12,60-69
172,929467,5,2022-07-28 08:49:57.61,1,5752,23,70-79
173,559211,3,2022-07-28 08:49:57.609,3,14667,59,80 이상
174,10357659,53,2022-07-28 08:49:57.609,0,12800,51,여성
175,9177583,47,2022-07-28 08:49:57.609,0,12157,49,남성
176,2293770,11.8,2022-07-27 09:13:50.18,0,27,0.11,0-9
177,2567922,13.2,2022-07-27 09:13:50.179,0,13,0.05,10-19
178,2882301,14.82,2022-07-27 09:13:50.179,0,62,0.25,20-29
179,2867589,14.75,2022-07-27 09:13:50.179,0,113,0.45,30-39
180,2997396,15.41,2022-07-27 09:13:50.179,0.01,338,1.36,40-49
181,2402839,12.36,2022-07-27 09:13:50.179,0.04,1031,4.14,50-59
182,1952463,10.04,2022-07-27 09:13:50.178,0.15,2950,11.83,60-69
183,925457,4.76,2022-07-27 09:13:50.178,0.62,5743,23.03,70-79
184,557209,2.87,2022-07-27 09:13:50.178,2.63,14655,58.78,80 이상
185,10309721,53.01,2022-07-27 09:13:50.178,0.12,12789,51.30,여성
186,9137225,46.99,2022-07-27 09:13:50.178,0.13,12143,48.70,남성
187,2285444,11.81,2022-07-26 09:03:32.511,0,27,0.11,0-9
188,2556268,13.21,2022-07-26 09:03:32.511,0,13,0.05,10-19
189,2863446,14.8,2022-07-26 09:03:32.511,0,61,0.24,20-29
190,2851736,14.74,2022-07-26 09:03:32.51,0,113,0.45,30-39
191,2981978,15.41,2022-07-26 09:03:32.509,0.01,338,1.36,40-49
192,2389844,12.35,2022-07-26 09:03:32.509,0.04,1030,4.14,50-59
193,1942917,10.04,2022-07-26 09:03:32.508,0.15,2945,11.82,60-69
194,920568,4.76,2022-07-26 09:03:32.508,0.62,5739,23.04,70-79
195,554563,2.87,2022-07-26 09:03:32.508,2.64,14641,58.78,80 이상
196,10255882,53.01,2022-07-26 09:03:32.508,0.12,12779,51.31,여성
197,9090882,46.99,2022-07-26 09:03:32.507,0.13,12128,48.69,남성
198,2276570,11.83,2022-07-25 09:13:42.939,0,27,0.11,0-9
199,2543649,13.22,2022-07-25 09:13:42.939,0,13,0.05,10-19
200,2846534,14.79,2022-07-25 09:13:42.939,0,61,0.25,20-29
201,2835927,14.73,2022-07-25 09:13:42.938,0,113,0.45,30-39
202,2965653,15.41,2022-07-25 09:13:42.938,0.01,336,1.35,40-49
203,2376340,12.35,2022-07-25 09:13:42.938,0.04,1030,4.14,50-59
204,1934208,10.05,2022-07-25 09:13:42.938,0.15,2943,11.82,60-69
205,916144,4.76,2022-07-25 09:13:42.938,0.63,5737,23.05,70-79
206,552471,2.87,2022-07-25 09:13:42.937,2.65,14630,58.78,80 이상
207,10202177,53.01,2022-07-25 09:13:42.937,0.13,12770,51.31,여성
208,9045319,46.99,2022-07-25 09:13:42.937,0.13,12120,48.69,남성
209,2272334,12,2022-07-24 09:10:25.561,0,27,0,0-9
210,2538095,13,2022-07-24 09:10:25.561,0,13,0,10-19
211,2840933,15,2022-07-24 09:10:25.561,0,61,0,20-29
212,2830404,15,2022-07-24 09:10:25.561,0,113,0,30-39
213,2960036,15,2022-07-24 09:10:25.56,0,335,1,40-49
214,2372135,12,2022-07-24 09:10:25.56,0,1030,4,50-59
215,1931228,10,2022-07-24 09:10:25.56,0,2942,12,60-69
216,914725,5,2022-07-24 09:10:25.56,1,5735,23,70-79
217,551723,3,2022-07-24 09:10:25.56,3,14617,59,80 이상
218,10183472,53,2022-07-24 09:10:25.559,0,12759,51,여성
219,9028141,47,2022-07-24 09:10:25.559,0,12114,49,남성
220,2266325,12,2022-07-23 09:15:09.935,0,27,0,0-9
221,2528047,13,2022-07-23 09:15:09.934,0,13,0,10-19
222,2830388,15,2022-07-23 09:15:09.934,0,61,0,20-29
223,2821282,15,2022-07-23 09:15:09.934,0,113,0,30-39
224,2950322,15,2022-07-23 09:15:09.934,0,335,1,40-49
225,2363452,12,2022-07-23 09:15:09.934,0,1028,4,50-59
226,1924841,10,2022-07-23 09:15:09.933,0,2938,12,60-69
227,911433,5,2022-07-23 09:15:09.933,1,5730,23,70-79
228,550090,3,2022-07-23 09:15:09.933,3,14610,59,80 이상
229,10148174,53,2022-07-23 09:15:09.933,0,12750,51,여성
230,8998006,47,2022-07-23 09:15:09.932,0,12105,49,남성
231,2260278,11.85,2022-07-22 09:03:10.828,0,26,0.10,0-9
232,2517556,13.2,2022-07-22 09:03:10.828,0,13,0.05,10-19
233,2818283,14.77,2022-07-22 09:03:10.828,0,61,0.25,20-29
234,2811608,14.74,2022-07-22 09:03:10.828,0,113,0.46,30-39
235,2940488,15.41,2022-07-22 09:03:10.827,0.01,335,1.35,40-49
236,2354538,12.34,2022-07-22 09:03:10.827,0.04,1028,4.14,50-59
237,1918243,10.05,2022-07-22 09:03:10.827,0.15,2933,11.81,60-69
238,908233,4.76,2022-07-22 09:03:10.827,0.63,5722,23.05,70-79
239,548432,2.87,2022-07-22 09:03:10.827,2.66,14594,58.79,80 이상
240,10111290,53,2022-07-22 09:03:10.826,0.13,12731,51.28,여성
241,8966369,47,2022-07-22 09:03:10.826,0.13,12094,48.72,남성
242,2254180,11.86,2022-07-21 08:59:51.783,0,26,0.10,0-9
243,2507380,13.19,2022-07-21 08:59:51.783,0,13,0.05,10-19
244,2804791,14.76,2022-07-21 08:59:51.782,0,61,0.25,20-29
245,2801535,14.74,2022-07-21 08:59:51.782,0,113,0.46,30-39
246,2930584,15.42,2022-07-21 08:59:51.782,0.01,334,1.35,40-49
247,2346220,12.34,2022-07-21 08:59:51.782,0.04,1025,4.13,50-59
248,1912045,10.06,2022-07-21 08:59:51.782,0.15,2930,11.82,60-69
249,905285,4.76,2022-07-21 08:59:51.781,0.63,5715,23.05,70-79
250,547060,2.88,2022-07-21 08:59:51.781,2.66,14577,58.79,80 이상
251,10074267,53,2022-07-21 08:59:51.781,0.13,12714,51.28,여성
252,8934813,47,2022-07-21 08:59:51.781,0.14,12080,48.72,남성
253,2248165,11.87,2022-07-20 09:11:10.244,0,26,0.10,0-9
254,2497161,13.19,2022-07-20 09:11:10.244,0,13,0.05,10-19
255,2790027,14.73,2022-07-20 09:11:10.243,0,61,0.25,20-29
256,2790388,14.73,2022-07-20 09:11:10.243,0,113,0.46,30-39
257,2919879,15.42,2022-07-20 09:11:10.243,0.01,334,1.35,40-49
258,2337844,12.34,2022-07-20 09:11:10.243,0.04,1024,4.13,50-59
259,1906189,10.07,2022-07-20 09:11:10.243,0.15,2929,11.82,60-69
260,902520,4.77,2022-07-20 09:11:10.242,0.63,5711,23.05,70-79
261,545798,2.88,2022-07-20 09:11:10.242,2.67,14566,58.79,80 이상
262,10035179,52.99,2022-07-20 09:11:10.242,0.13,12705,51.28,여성
263,8902792,47.01,2022-07-20 09:11:10.242,0.14,12072,48.72,남성
264,2241434,11.88,2022-07-19 09:09:41.844,0,26,0.10,0-9
265,2484981,13.17,2022-07-19 09:09:41.844,0,13,0.05,10-19
266,2775646,14.72,2022-07-19 09:09:41.843,0,61,0.25,20-29
267,2778536,14.73,2022-07-19 09:09:41.843,0,113,0.46,30-39
268,2908449,15.42,2022-07-19 09:09:41.843,0.01,334,1.35,40-49
269,2328822,12.35,2022-07-19 09:09:41.843,0.04,1024,4.13,50-59
270,1899886,10.07,2022-07-19 09:09:41.843,0.15,2928,11.82,60-69
271,899569,4.77,2022-07-19 09:09:41.842,0.63,5710,23.06,70-79
272,544270,2.89,2022-07-19 09:09:41.842,2.67,14556,58.78,80 이상
273,9994292,52.99,2022-07-19 09:09:41.842,0.13,12696,51.27,여성
274,8867301,47.01,2022-07-19 09:09:41.842,0.14,12069,48.73,남성
275,2234641,11.89,2022-07-18 09:15:10.578,0,25,0.10,0-9
276,2471334,13.15,2022-07-18 09:15:10.578,0,13,0.05,10-19
277,2763278,14.71,2022-07-18 09:15:10.578,0,61,0.25,20-29
278,2767294,14.73,2022-07-18 09:15:10.578,0,113,0.46,30-39
279,2897047,15.42,2022-07-18 09:15:10.578,0.01,334,1.35,40-49
280,2319895,12.35,2022-07-18 09:15:10.577,0.04,1023,4.13,50-59
281,1894423,10.08,2022-07-18 09:15:10.577,0.15,2927,11.82,60-69
282,896989,4.77,2022-07-18 09:15:10.577,0.64,5709,23.06,70-79
283,543155,2.89,2022-07-18 09:15:10.577,2.68,14548,58.77,80 이상
284,9955179,52.99,2022-07-18 09:15:10.576,0.13,12688,51.26,여성
285,8832877,47.01,2022-07-18 09:15:10.576,0.14,12065,48.74,남성
286,2231214,11.89,2022-07-17 09:22:38.487,0.00,25,0.10,0-9
287,2466133,13.14,2022-07-17 09:22:38.487,0.00,13,0.05,10-19
288,2759042,14.71,2022-07-17 09:22:38.487,0.00,61,0.25,20-29
289,2763451,14.73,2022-07-17 09:22:38.487,0.00,112,0.45,30-39
290,2893168,15.42,2022-07-17 09:22:38.487,0.01,333,1.35,40-49
291,2317214,12.35,2022-07-17 09:22:38.486,0.04,1022,4.13,50-59
292,1892616,10.09,2022-07-17 09:22:38.486,0.15,2925,11.82,60-69
293,896231,4.78,2022-07-17 09:22:38.486,0.64,5707,23.07,70-79
294,542688,2.89,2022-07-17 09:22:38.486,2.68,14544,58.78,80 이상
295,9941545,52.99,2022-07-17 09:22:38.485,0.13,12683,51.26,여성
296,8820212,47.01,2022-07-17 09:22:38.485,0.14,12059,48.74,남성
297,2227344,11.90,2022-07-16 09:30:23.957,0.00,25,0.10,0-9
298,2459476,13.14,2022-07-16 09:30:23.957,0.00,13,0.05,10-19
299,2752293,14.70,2022-07-16 09:30:23.956,0.00,61,0.25,20-29
300,2757727,14.73,2022-07-16 09:30:23.956,0.00,112,0.45,30-39
301,2887105,15.42,2022-07-16 09:30:23.956,0.01,332,1.34,40-49
302,2312006,12.35,2022-07-16 09:30:23.956,0.04,1022,4.13,50-59
303,1889053,10.09,2022-07-16 09:30:23.956,0.15,2922,11.82,60-69
304,894531,4.78,2022-07-16 09:30:23.955,0.64,5707,23.08,70-79
305,541880,2.89,2022-07-16 09:30:23.955,2.68,14534,58.78,80 이상
306,9920127,52.99,2022-07-16 09:30:23.955,0.13,12678,51.27,여성
307,8801288,47.01,2022-07-16 09:30:23.955,0.14,12050,48.73,남성
308,2223570,12,2022-07-15 09:08:25.744,0,24,0,0-9
309,2452383,13,2022-07-15 09:08:25.744,0,12,0,10-19
310,2744769,15,2022-07-15 09:08:25.744,0,61,0,20-29
311,2751886,15,2022-07-15 09:08:25.743,0,112,0,30-39
312,2881179,15,2022-07-15 09:08:25.743,0,332,1,40-49
313,2306919,12,2022-07-15 09:08:25.743,0,1021,4,50-59
314,1885500,10,2022-07-15 09:08:25.742,0,2922,12,60-69
315,892848,5,2022-07-15 09:08:25.742,1,5703,23,70-79
316,541088,3,2022-07-15 09:08:25.742,3,14525,59,80 이상
317,9898050,53,2022-07-15 09:08:25.742,0,12670,51,여성
318,8782092,47,2022-07-15 09:08:25.741,0,12042,49,남성
319,2220200,12,2022-07-14 09:16:35.457,0,24,0,0-9
320,2445884,13,2022-07-14 09:16:35.457,0,12,0,10-19
321,2737243,15,2022-07-14 09:16:35.457,0,61,0,20-29
322,2745999,15,2022-07-14 09:16:35.457,0,112,0,30-39
323,2875581,15,2022-07-14 09:16:35.457,0,331,1,40-49
324,2302217,12,2022-07-14 09:16:35.456,0,1021,4,50-59
325,1882339,10,2022-07-14 09:16:35.456,0,2919,12,60-69
326,891390,5,2022-07-14 09:16:35.456,1,5697,23,70-79
327,540425,3,2022-07-14 09:16:35.456,3,14519,59,80 이상
328,9877191,53,2022-07-14 09:16:35.456,0,12663,51,여성
329,8764087,47,2022-07-14 09:16:35.455,0,12033,49,남성
330,2216919,12,2022-07-13 09:08:55.785,0,24,0,0-9
331,2439794,13,2022-07-13 09:08:55.785,0,11,0,10-19
332,2729025,15,2022-07-13 09:08:55.785,0,61,0,20-29
333,2739915,15,2022-07-13 09:08:55.784,0,112,0,30-39
334,2869716,15,2022-07-13 09:08:55.784,0,331,1,40-49
335,2297559,12,2022-07-13 09:08:55.783,0,1017,4,50-59
336,1879408,10,2022-07-13 09:08:55.783,0,2917,12,60-69
337,890001,5,2022-07-13 09:08:55.782,1,5696,23,70-79
338,539772,3,2022-07-13 09:08:55.782,3,14511,59,80 이상
339,9856137,53,2022-07-13 09:08:55.781,0,12657,51,여성
340,8745972,47,2022-07-13 09:08:55.781,0,12023,49,남성
341,2213519,11.93,2022-07-12 04:00:55.852,0,24,0.10,0-9
342,2433463,13.11,2022-07-12 04:00:55.852,0,11,0.04,10-19
343,2720841,14.66,2022-07-12 04:00:55.852,0,61,0.25,20-29
344,2733272,14.73,2022-07-12 04:00:55.852,0,112,0.45,30-39
345,2863866,15.43,2022-07-12 04:00:55.851,0.01,331,1.34,40-49
346,2292756,12.35,2022-07-12 04:00:55.851,0.04,1017,4.12,50-59
347,1876358,10.11,2022-07-12 04:00:55.851,0.16,2918,11.83,60-69
348,888674,4.79,2022-07-12 04:00:55.851,0.64,5691,23.07,70-79
349,539112,2.9,2022-07-12 04:00:55.851,2.69,14503,58.79,80 이상
350,9834737,52.98,2022-07-12 04:00:55.85,0.13,12648,51.27,여성
351,8727124,47.02,2022-07-12 04:00:55.85,0.14,12020,48.73,남성
352,2210265,11.93,2022-07-11 06:11:54.197,0,24,0.10,0-9
353,2427230,13.1,2022-07-11 06:11:54.197,0,11,0.04,10-19
354,2714132,14.65,2022-07-11 06:11:54.197,0,61,0.25,20-29
355,2727308,14.72,2022-07-11 06:11:54.197,0,111,0.45,30-39
356,2857889,15.43,2022-07-11 06:11:54.197,0.01,331,1.34,40-49
357,2288046,12.35,2022-07-11 06:11:54.197,0.04,1017,4.12,50-59
358,1873591,10.11,2022-07-11 06:11:54.196,0.16,2917,11.83,60-69
359,887487,4.79,2022-07-11 06:11:54.196,0.64,5690,23.07,70-79
360,538590,2.91,2022-07-11 06:11:54.196,2.69,14499,58.79,80 이상
361,9814638,52.98,2022-07-11 06:11:54.196,0.13,12644,51.27,여성
362,8709900,47.02,2022-07-11 06:11:54.195,0.14,12017,48.73,남성
363,2208821,11.93,2022-07-10 09:39:07.796,0,24,0.10,0-9
364,2425144,13.1,2022-07-10 09:39:07.796,0,11,0.04,10-19
365,2711892,14.65,2022-07-10 09:39:07.796,0,61,0.25,20-29
366,2725267,14.72,2022-07-10 09:39:07.796,0,111,0.45,30-39
367,2855859,15.43,2022-07-10 09:39:07.796,0.01,331,1.34,40-49
368,2286617,12.35,2022-07-10 09:39:07.795,0.04,1017,4.13,50-59
369,1872706,10.12,2022-07-10 09:39:07.795,0.16,2911,11.81,60-69
370,887131,4.79,2022-07-10 09:39:07.795,0.64,5685,23.07,70-79
371,538408,2.91,2022-07-10 09:39:07.795,2.69,14492,58.81,80 이상
372,9808044,52.98,2022-07-10 09:39:07.795,0.13,12632,51.26,여성
373,8703801,47.02,2022-07-10 09:39:07.794,0.14,12011,48.74,남성
374,2207050,11.94,2022-07-09 09:52:25.909,0,24,0.10,0-9
375,2422021,13.1,2022-07-09 09:52:25.909,0,11,0.04,10-19
376,2708167,14.65,2022-07-09 09:52:25.909,0,61,0.25,20-29
