industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"비금속광물 광업;연료용 제외","B07","2020","1~3","YEARS2","여","2",233.0
"비금속광물 광업;연료용 제외","B07","2020","3~5","YEARS3","여","2",119.0
"비금속광물 광업;연료용 제외","B07","2020","5~10","YEARS4","여","2",205.0
"비금속광물 광업;연료용 제외","B07","2020","10~","YEARS5","여","2",204.0
"광업 지원 서비스업","B08","2020","~1","YEARS1","남","1",4.0
"광업 지원 서비스업","B08","2020","1~3","YEARS2","남","1",34.0
"광업 지원 서비스업","B08","2020","3~5","YEARS3","남","1",8.0
"광업 지원 서비스업","B08","2020","5~10","YEARS4","남","1",160.0
"광업 지원 서비스업","B08","2020","10~","YEARS5","남","1",216.0
"광업 지원 서비스업","B08","2020","~1","YEARS1","여","2",4.0
"광업 지원 서비스업","B08","2020","1~3","YEARS2","여","2",0.0
"광업 지원 서비스업","B08","2020","3~5","YEARS3","여","2",0.0
"광업 지원 서비스업","B08","2020","5~10","YEARS4","여","2",5.0
"광업 지원 서비스업","B08","2020","10~","YEARS5","여","2",3.0
"제조업","C","2020","~1","YEARS1","남","1",307263.0
"제조업","C","2020","1~3","YEARS2","남","1",548970.0
"제조업","C","2020","3~5","YEARS3","남","1",329684.0
"제조업","C","2020","5~10","YEARS4","남","1",490713.0
"제조업","C","2020","10~","YEARS5","남","1",741664.0
"제조업","C","2020","~1","YEARS1","여","2",95683.0
"제조업","C","2020","1~3","YEARS2","여","2",186123.0
"제조업","C","2020","3~5","YEARS3","여","2",116122.0
"제조업","C","2020","5~10","YEARS4","여","2",174200.0
"제조업","C","2020","10~","YEARS5","여","2",150449.0
"식료품 제조업","C10","2020","~1","YEARS1","남","1",20474.0
"식료품 제조업","C10","2020","1~3","YEARS2","남","1",31292.0
"식료품 제조업","C10","2020","3~5","YEARS3","남","1",15679.0
"식료품 제조업","C10","2020","5~10","YEARS4","남","1",21885.0
"식료품 제조업","C10","2020","10~","YEARS5","남","1",26382.0
"식료품 제조업","C10","2020","~1","YEARS1","여","2",17923.0
"식료품 제조업","C10","2020","1~3","YEARS2","여","2",30106.0
"식료품 제조업","C10","2020","3~5","YEARS3","여","2",15842.0
"식료품 제조업","C10","2020","5~10","YEARS4","여","2",22855.0
"식료품 제조업","C10","2020","10~","YEARS5","여","2",14912.0
"음료 제조업","C11","2020","~1","YEARS1","남","1",1242.0
"음료 제조업","C11","2020","1~3","YEARS2","남","1",2262.0
"음료 제조업","C11","2020","3~5","YEARS3","남","1",1289.0
"음료 제조업","C11","2020","5~10","YEARS4","남","1",2228.0
"음료 제조업","C11","2020","10~","YEARS5","남","1",6882.0
"음료 제조업","C11","2020","~1","YEARS1","여","2",430.0
"음료 제조업","C11","2020","1~3","YEARS2","여","2",842.0
"음료 제조업","C11","2020","3~5","YEARS3","여","2",616.0
"음료 제조업","C11","2020","5~10","YEARS4","여","2",724.0
"음료 제조업","C11","2020","10~","YEARS5","여","2",1214.0
"담배 제조업","C12","2020","~1","YEARS1","남","1",173.0
"담배 제조업","C12","2020","1~3","YEARS2","남","1",228.0
"담배 제조업","C12","2020","3~5","YEARS3","남","1",102.0
"담배 제조업","C12","2020","5~10","YEARS4","남","1",208.0
"담배 제조업","C12","2020","10~","YEARS5","남","1",1185.0
"담배 제조업","C12","2020","~1","YEARS1","여","2",23.0
"담배 제조업","C12","2020","1~3","YEARS2","여","2",23.0
"담배 제조업","C12","2020","3~5","YEARS3","여","2",9.0
"담배 제조업","C12","2020","5~10","YEARS4","여","2",17.0
"담배 제조업","C12","2020","10~","YEARS5","여","2",101.0
"섬유제품 제조업; 의복제외","C13","2020","~1","YEARS1","남","1",7744.0
"섬유제품 제조업; 의복제외","C13","2020","1~3","YEARS2","남","1",18637.0
"섬유제품 제조업; 의복제외","C13","2020","3~5","YEARS3","남","1",10151.0
"섬유제품 제조업; 의복제외","C13","2020","5~10","YEARS4","남","1",8714.0
"섬유제품 제조업; 의복제외","C13","2020","10~","YEARS5","남","1",10695.0
"섬유제품 제조업; 의복제외","C13","2020","~1","YEARS1","여","2",3612.0
"섬유제품 제조업; 의복제외","C13","2020","1~3","YEARS2","여","2",9247.0
"섬유제품 제조업; 의복제외","C13","2020","3~5","YEARS3","여","2",5931.0
"섬유제품 제조업; 의복제외","C13","2020","5~10","YEARS4","여","2",7345.0
"섬유제품 제조업; 의복제외","C13","2020","10~","YEARS5","여","2",5088.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","~1","YEARS1","남","1",2455.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","1~3","YEARS2","남","1",4224.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","3~5","YEARS3","남","1",3161.0
"의복, 의복액세서리 및 모피제품 제조업","C14","2020","5~10","YEARS4","남","1",3762.0
