year,geo_name,geo,industry_name,industry,EMP_DD_5,EMP_DD_6
"2013","전국","01000KR","교육 서비스업","P",9544.0,1.8
"2013","전국","01000KR","교육 서비스업","P85",9544.0,1.8
"2013","전국","01000KR","보건업 및 사회복지 서비스업","Q",20861.0,2.5
"2013","전국","01000KR","보건업","Q86",12016.0,2.3
"2013","전국","01000KR","사회복지 서비스업","Q87",8845.0,2.8
"2013","전국","01000KR","예술, 스포츠 및 여가관련 서비스업","R",2391.0,1.9
"2013","전국","01000KR","창작, 예술 및 여가관련 서비스업","R90",530.0,2.3
"2013","전국","01000KR","스포츠 및 오락관련 서비스업","R91",1860.0,1.8
"2013","전국","01000KR","협회 및 단체, 수리  및 기타 개인 서비스업","S",6081.0,2.2
"2013","전국","01000KR","협회 및 단체","S94",1041.0,1.3
"2013","전국","01000KR","수리업","S95",3060.0,2.8
"2013","전국","01000KR","기타 개인 서비스업","S96",1980.0,2.3
"2014","전국","01000KR","전체","0",266464.0,2.4
"2014","전국","01000KR","광업","B",133.0,1.2
"2014","전국","01000KR","석탄, 원유 및 천연가스 광업","B05",0.0,0.0
"2014","전국","01000KR","금속 광업","B06",0.0,0.0
"2014","전국","01000KR","비금속광물 광업;연료용 제외","B07",132.0,1.6
"2014","전국","01000KR","광업 지원 서비스업","B08",1.0,0.5
"2014","전국","01000KR","제조업","C",79164.0,2.6
"2014","전국","01000KR","식료품 제조업","C10",8302.0,4.4
"2014","전국","01000KR","음료 제조업","C11",108.0,1.2
"2014","전국","01000KR","담배 제조업","C12",0.0,0.0
"2014","전국","01000KR","섬유제품 제조업; 의복제외","C13",2011.0,1.9
"2014","전국","01000KR","의복, 의복액세서리 및 모피제품 제조업","C14",2161.0,3.0
"2014","전국","01000KR","가죽, 가방 및 신발 제조업","C15",447.0,2.3
"2014","전국","01000KR","목재 및 나무제품 제조업;가구제외","C16",573.0,2.8
"2014","전국","01000KR","펄프, 종이 및 종이제품 제조업","C17",1185.0,2.1
"2014","전국","01000KR","인쇄 및 기록매체 복제업","C18",1201.0,3.2
"2014","전국","01000KR","코크스, 연탄 및 석유정제품 제조업","C19",61.0,0.6
"2014","전국","01000KR","화학물질 및 화학제품 제조업;의약품 제외","C20",3009.0,2.2
"2014","전국","01000KR","의료용 물질 및 의약품 제조업","C21",476.0,1.6
"2014","전국","01000KR","고무제품 및 플라스틱제품 제조업","C22",6174.0,2.7
"2014","전국","01000KR","비금속 광물제품 제조업","C23",1753.0,2.1
"2014","전국","01000KR","1차 금속 제조업","C24",3836.0,2.5
"2014","전국","01000KR","금속가공제품 제조업;기계 및 가구 제외","C25",12696.0,4.1
"2014","전국","01000KR","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26",4471.0,1.0
"2014","전국","01000KR","의료, 정밀, 광학기기 및 시계 제조업","C27",2357.0,2.8
"2014","전국","01000KR","전기장비 제조업","C28",4600.0,2.5
"2014","전국","01000KR","기타 기계 및 장비 제조업","C29",10557.0,3.0
"2014","전국","01000KR","자동차 및 트레일러 제조업","C30",5828.0,1.9
"2014","전국","01000KR","기타 운송장비 제조업","C31",5057.0,2.9
"2014","전국","01000KR","가구 제조업","C32",1510.0,4.2
"2014","전국","01000KR","기타 제품 제조업","C33",790.0,2.8
"2014","전국","01000KR","전기, 가스, 증기 및 수도사업","D",624.0,1.0
"2014","전국","01000KR","전기, 가스, 증기 및 공기조절 공급업","D35",490.0,0.9
"2014","전국","01000KR","수도사업","D36",134.0,1.3
"2014","전국","01000KR","하수·폐기물 처리, 원료재생 및 환경복원업","E",852.0,1.3
"2014","전국","01000KR","하수, 폐수 및 분뇨 처리업","E37",101.0,0.9
"2014","전국","01000KR","폐기물 수집운반, 처리 및 원료재생업","E38",750.0,1.4
"2014","전국","01000KR","환경 정화 및 복원업","E39",1.0,0.1
"2014","전국","01000KR","건설업","F",11908.0,1.3
