,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,위도,경도
28,제주전기자동차서비스,코오롱레이크폴리스1차,1,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장,거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865),37.65617251,126.7697387
29,제주전기자동차서비스,코오롱레이크폴리스1차,2,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장,거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865),37.65617251,126.7697387
30,제주전기자동차서비스,코오롱레이크폴리스1차,3,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장,거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865),37.65617251,126.7697387
31,제주전기자동차서비스,코오롱레이크폴리스1차,4,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장,거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865),37.65617251,126.7697387
32,제주전기자동차서비스,탄현9단지일신아파트,1,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80,37.69843581,126.7692301
33,제주전기자동차서비스,탄현9단지일신아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80,37.69843581,126.7692301
34,제주전기자동차서비스,탄현9단지일신아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80,37.69843581,126.7692301
35,제주전기자동차서비스,한류월드 시티프라디움 레이크,1,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60,37.66094838,126.7562645
36,제주전기자동차서비스,한류월드 시티프라디움 레이크,2,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60,37.66094838,126.7562645
37,제주전기자동차서비스,한류월드 시티프라디움 레이크,3,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60,37.66094838,126.7562645
38,제주전기자동차서비스,한류월드 시티프라디움 레이크,4,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60,37.66094838,126.7562645
39,제주전기자동차서비스,한류월드 시티프라디움 레이크,5,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60,37.66094838,126.7562645
40,한국전력,가좌마을1단지 양우아아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 가좌4로 29지하,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 가좌4로 29지하,37.68516634,126.7165011
41,한국전력,가좌마을7단지꿈에그린한화 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207,37.68391933,126.7209319
42,한국전력,가좌마을7단지꿈에그린한화 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207,37.68391933,126.7209319
43,한국전력,가좌마을7단지꿈에그린한화 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207,37.68391933,126.7209319
44,한국전력,가좌벽산블루밍5단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090,37.68492789,126.7172294
45,한국전력,가좌벽산블루밍5단지 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090,37.68492789,126.7172294
46,한국전력,가좌벽산블루밍5단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090,37.68492789,126.7172294
47,한국전력,가좌벽산블루밍5단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090,37.68492789,126.7172294
48,한국전력,고양지사,3,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39,37.64138459,126.7877964
