,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2
0,파킹클라우드,고양 삼송역현대헤리엇아파트,1,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
1,파킹클라우드,고양 삼송역현대헤리엇아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
2,파킹클라우드,고양 삼송역현대헤리엇아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
3,파킹클라우드,고양 삼송역현대헤리엇아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
4,파킹클라우드,고양 삼송역현대헤리엇아파트,5,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
5,파킹클라우드,고양 삼송역현대헤리엇아파트,6,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
6,파킹클라우드,고양 삼송역현대헤리엇아파트,7,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
7,파킹클라우드,고양 삼송역현대헤리엇아파트,8,AC완속,경기도,고양시,경기도 고양시 덕양구 삼송로 222(현대 헤리엇),거주자외 출입제한,양구 삼송로 222(현대 헤리엇)
19,제주전기자동차서비스,고양대림2차아파트,1,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
20,제주전기자동차서비스,고양대림2차아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
21,제주전기자동차서비스,고양대림2차아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
22,제주전기자동차서비스,고양대림2차아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
23,제주전기자동차서비스,고양대림2차아파트,5,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
24,제주전기자동차서비스,고양대림2차아파트,6,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
25,제주전기자동차서비스,고양대림2차아파트,7,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
26,제주전기자동차서비스,고양대림2차아파트,8,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
27,제주전기자동차서비스,고양대림2차아파트,9,AC완속,경기도,고양시,경기도 고양시 덕양구 토당로 123,거주자외 출입제한,양구 토당로 123
46,제주전기자동차서비스,밤가시마을건영3단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 270,거주자외 출입제한,산동구 산두로 270
47,제주전기자동차서비스,밤가시마을건영3단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 270,거주자외 출입제한,산동구 산두로 270
48,제주전기자동차서비스,밤가시마을건영5단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 228,거주자외 출입제한,산동구 산두로 228
49,제주전기자동차서비스,밤가시마을건영5단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 228,거주자외 출입제한,산동구 산두로 228
50,제주전기자동차서비스,밤가시마을건영6단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 210,거주자외 출입제한,산동구 산두로 210
51,제주전기자동차서비스,밤가시마을건영6단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 210,거주자외 출입제한,산동구 산두로 210
52,제주전기자동차서비스,밤가시마을건영6단지,4,AC완속,경기도,고양시,경기도 고양시 일산동구 산두로 210,거주자외 출입제한,산동구 산두로 210
54,제주전기자동차서비스,숲속마을3단지아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 숲속마을로 65,거주자외 출입제한,산동구 숲속마을로 65
55,제주전기자동차서비스,숲속마을3단지아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 숲속마을로 65,거주자외 출입제한,산동구 숲속마을로 65
57,제주전기자동차서비스,중산12단지현대아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 탄중로 403,거주자외 출입제한,산동구 탄중로 403
58,제주전기자동차서비스,중산12단지현대아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 탄중로 403,거주자외 출입제한,산동구 탄중로 403
65,제주전기자동차서비스,코오롱레이크폴리스1차,1,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
66,제주전기자동차서비스,코오롱레이크폴리스1차,2,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
67,제주전기자동차서비스,코오롱레이크폴리스1차,3,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
68,제주전기자동차서비스,코오롱레이크폴리스1차,4,AC완속,경기도,고양시,경기도 고양시 일산동구 호수로 606 지하주차장지하주차장(장항동 865),거주자외 출입제한,산동구 호수로 606 지하주차장지하주차장(장항동 865)
69,제주전기자동차서비스,탄현9단지일신아파트,1,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80
70,제주전기자동차서비스,탄현9단지일신아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80
71,제주전기자동차서비스,탄현9단지일신아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현로 80,거주자외 출입제한,산서구 탄현로 80
72,제주전기자동차서비스,한류월드 시티프라디움 레이크,1,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
73,제주전기자동차서비스,한류월드 시티프라디움 레이크,2,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
74,제주전기자동차서비스,한류월드 시티프라디움 레이크,3,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
75,제주전기자동차서비스,한류월드 시티프라디움 레이크,4,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
76,제주전기자동차서비스,한류월드 시티프라디움 레이크,5,AC완속,경기도,고양시,경기도 고양시 일산동구 연리지로 60,사업장 거주자외 출입제한,산동구 연리지로 60
151,한국전력,가좌마을1단지 양우아아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 가좌4로 29지하,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 가좌4로 29지하
152,한국전력,가좌마을7단지꿈에그린한화 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207
153,한국전력,가좌마을7단지꿈에그린한화 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207
154,한국전력,가좌마을7단지꿈에그린한화 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 송포로 207,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 송포로 207
155,한국전력,가좌벽산블루밍5단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
156,한국전력,가좌벽산블루밍5단지 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
157,한국전력,가좌벽산블루밍5단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
158,한국전력,가좌벽산블루밍5단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산서구 가좌동 1090,시설 상황에 따라 이용이 제한될 수 있음,산서구 가좌동 1090
207,한국전력,고양지사,3,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
208,한국전력,고양지사,4,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
209,한국전력,고양지사,5,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
210,한국전력,고양지사,6,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
211,한국전력,고양지사,7,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
212,한국전력,고양지사,8,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
213,한국전력,고양지사,9,AC완속,경기도,고양시,경기도 고양시 일산동구 장백로 39,시설 상황에 따라 이용이 제한될 수 있음,산동구 장백로 39
421,한국전력,능곡2차 현대홈타운아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 토당동 능곡로13번길 16,입주자외 출입제한 (긴급상황 이용가능),양구 토당동 능곡로13번길 16
507,한국전력,동양라파크 아파트,1,AC완속,경기도,고양시,경기도 고양시 일산서구 덕이동 탄중로 101,입주자외 출입제한 (긴급상황 이용가능),산서구 덕이동 탄중로 101
508,한국전력,동양라파크 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 덕이동 탄중로 101,입주자외 출입제한 (긴급상황 이용가능),산서구 덕이동 탄중로 101
706,한국전력,백마4단지한양청구아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 마두동 734,입주자외 출입제한 (긴급상황 이용가능),산동구 마두동 734
707,한국전력,백마역중앙하이츠빌1아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 고일로 171,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 고일로 171
708,한국전력,백마역중앙하이츠빌1아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 고일로 171,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 고일로 171
712,한국전력,백송7임광,1,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 백석로 175,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 백석로 175
713,한국전력,백송7임광,2,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 백석로 175,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 백석로 175
714,한국전력,백송8단지선경코오롱아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 백석동 백석로 151지하,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 백석로 151지하
819,한국전력,브라운스톤일산,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336
820,한국전력,브라운스톤일산,2,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336
821,한국전력,브라운스톤일산,3,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336
822,한국전력,브라운스톤일산,4,AC완속,경기도,고양시,경기도 고양시 일산동구 백석동 호수로 336,시설 상황에 따라 이용이 제한될 수 있음,산동구 백석동 호수로 336
831,한국전력,사리현동문3단지아파트,1,AC완속,경기도,고양시,경기도 고양시 일산동구 사리현동 공릉천로 66,시설 상황에 따라 이용이 제한될 수 있음,산동구 사리현동 공릉천로 66
840,한국전력,산들5단지동문 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30
841,한국전력,산들5단지동문 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30
842,한국전력,산들5단지동문 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30
843,한국전력,산들5단지동문 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산서구 일산동 일중로 30,시설 상황에 따라 이용이 제한될 수 있음,산서구 일산동 일중로 30
880,한국전력,샘터마을1단지,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76
881,한국전력,샘터마을1단지,2,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76
882,한국전력,샘터마을1단지,3,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76
883,한국전력,샘터마을1단지,4,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 화신로 76,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 화신로 76
902,한국전력,서정마을6단지 아파트,1,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 서정로 19,입주자외 출입제한 (긴급상황 이용가능),양구 행신동 서정로 19
903,한국전력,서정마을파크하임휴먼시아 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 행신동 소원로181번길 20,시설 상황에 따라 이용이 제한될 수 있음,양구 행신동 소원로181번길 20
904,한국전력,서정마을파크하임휴먼시아 아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 소원로181번길 20,시설 상황에 따라 이용이 제한될 수 있음,양구 행신동 소원로181번길 20
905,한국전력,서정마을파크하임휴먼시아 아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 행신동 소원로181번길 20,시설 상황에 따라 이용이 제한될 수 있음,양구 행신동 소원로181번길 20
952,한국전력,성저마을4단지삼익 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 대화동 대산로 263,시설 상황에 따라 이용이 제한될 수 있음,산서구 대화동 대산로 263
953,한국전력,성저마을4단지삼익 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산서구 대화동 대산로 263,시설 상황에 따라 이용이 제한될 수 있음,산서구 대화동 대산로 263
954,한국전력,성저마을4단지삼익 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산서구 대화동 대산로 263,시설 상황에 따라 이용이 제한될 수 있음,산서구 대화동 대산로 263
1012,한국전력,숲속마을2단지,1,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55
1013,한국전력,숲속마을2단지,2,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55
1014,한국전력,숲속마을2단지,3,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55
1015,한국전력,숲속마을2단지,4,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55
1016,한국전력,숲속마을2단지,5,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을1로 55,입주자외 출입제한 (긴급상황 이용가능),산동구 풍동 숲속마을1로 55
1017,한국전력,숲속마을6단지 두산위브,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68
1018,한국전력,숲속마을6단지 두산위브,2,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68
1019,한국전력,숲속마을6단지 두산위브,3,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68
1020,한국전력,숲속마을6단지 두산위브,4,AC완속,경기도,고양시,경기도 고양시 일산동구 풍동 숲속마을로 68,시설 상황에 따라 이용이 제한될 수 있음,산동구 풍동 숲속마을로 68
1058,한국전력,식사동 일산자이2단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1059,한국전력,식사동 일산자이2단지 아파트,2,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1060,한국전력,식사동 일산자이2단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1061,한국전력,식사동 일산자이2단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1062,한국전력,식사동 일산자이2단지 아파트,5,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1063,한국전력,식사동 일산자이2단지 아파트,6,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1064,한국전력,식사동 일산자이2단지 아파트,7,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350
1220,한국전력,양지마을 5단지 건영빌라,1,AC완속,경기도,고양시,경기도 고양시 일산동구 정발산동 대산로 30,입주자외 출입제한 (긴급상황 이용가능),산동구 정발산동 대산로 30
1221,한국전력,양지마을 5단지 건영빌라,2,AC완속,경기도,고양시,경기도 고양시 일산동구 정발산동 대산로 30,입주자외 출입제한 (긴급상황 이용가능),산동구 정발산동 대산로 30
1222,한국전력,양지마을 5단지 건영빌라,3,AC완속,경기도,고양시,경기도 고양시 일산동구 정발산동 대산로 30,입주자외 출입제한 (긴급상황 이용가능),산동구 정발산동 대산로 30
1293,한국전력,옥빛16단지입주자,1,AC완속,경기도,고양시,경기도 고양시 덕양구 화정동 백양로 15,입주자외 출입제한 (긴급상황 이용가능),양구 화정동 백양로 15
1294,한국전력,옥빛16단지입주자,2,AC완속,경기도,고양시,경기도 고양시 덕양구 화정동 백양로 15,입주자외 출입제한 (긴급상황 이용가능),양구 화정동 백양로 15
1343,한국전력,원당 래미안휴레스트 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 863,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863
1344,한국전력,원당 래미안휴레스트 아파트,2,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 863,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863
1345,한국전력,원당 래미안휴레스트 아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 863,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863
1346,한국전력,원당 래미안휴레스트 아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 863,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863
1347,한국전력,원당e-편한세상 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859
1348,한국전력,원당e-편한세상 아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859
1349,한국전력,원당e-편한세상 아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859
1350,한국전력,원당e-편한세상 아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859
1351,한국전력,원당e-편한세상 아파트,5,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859
1353,한국전력,원흥도래울6단지,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103
1354,한국전력,원흥도래울6단지,2,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103
1355,한국전력,원흥도래울6단지,3,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103
1356,한국전력,원흥도래울6단지,4,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103
1357,한국전력,원흥도래울6단지,5,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103
1393,한국전력,위시티 일산자이1단지 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84
1394,한국전력,위시티 일산자이1단지 아파트,2,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84
1395,한국전력,위시티 일산자이1단지 아파트,3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84
1396,한국전력,위시티 일산자이1단지 아파트,4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84
1397,한국전력,위시티 일산자이1단지 아파트,5,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 위시티4로 84,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티4로 84
1398,한국전력,위시티 일산자이1단지 아파트(추가),1,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487
1399,한국전력,위시티 일산자이1단지 아파트(추가),2,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487
1400,한국전력,위시티 일산자이1단지 아파트(추가),3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487
1401,한국전력,위시티 일산자이1단지 아파트(추가),4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487
1402,한국전력,위시티 일산자이1단지 아파트(추가),5,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1487,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1487
1403,한국전력,위시티블루밍5단지,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산동구 식사동 위시티1로 7,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 위시티1로 7
1404,한국전력,위시티블루밍5단지(추가),1,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1565,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1565
1405,한국전력,위시티블루밍5단지(추가),2,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1565,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1565
1406,한국전력,위시티블루밍5단지(추가),3,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1565,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1565
1407,한국전력,위시티블루밍5단지(추가),4,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 1565,입주자외 출입제한 (긴급상황 이용가능),산동구 식사동 1565
1461,한국전력,일산 두산위브더제니스,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1462,한국전력,일산 두산위브더제니스,2,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1463,한국전력,일산 두산위브더제니스,3,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1464,한국전력,일산 두산위브더제니스,4,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1465,한국전력,일산 두산위브더제니스,5,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1466,한국전력,일산 두산위브더제니스,6,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1467,한국전력,일산 두산위브더제니스,7,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1468,한국전력,일산 두산위브더제니스,8,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 일현로 97-11,시설 상황에 따라 이용이 제한될 수 있음,산서구 탄현동 일현로 97-11
1469,한국전력,일산 두산위브더제니스(추가),1,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 1640,입주자외 출입제한 (긴급상황 이용가능),산서구 탄현동 1640
1470,한국전력,일산 두산위브더제니스(추가),2,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 1640,입주자외 출입제한 (긴급상황 이용가능),산서구 탄현동 1640
1471,한국전력,일산 두산위브더제니스(추가),3,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 1640,입주자외 출입제한 (긴급상황 이용가능),산서구 탄현동 1640
1472,한국전력,일산 두산위브더제니스(추가),4,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 1640,입주자외 출입제한 (긴급상황 이용가능),산서구 탄현동 1640
1473,한국전력,일산 두산위브더제니스(추가),5,AC완속,경기도,고양시,경기도 고양시 일산서구 탄현동 1640,입주자외 출입제한 (긴급상황 이용가능),산서구 탄현동 1640
