,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
419,차지비,동삼동에덴금호타운,1,AC완속,부산광역시,영도구,부산광역시 영도구 태종로 702 (동삼동     에덴금호타운) 101동    103동,제한없음,35.07103109,129.0757126
420,차지비,동삼동에덴금호타운,2,AC완속,부산광역시,영도구,부산광역시 영도구 태종로 702 (동삼동     에덴금호타운) 101동    103동,제한없음,35.07103109,129.0757126
421,차지비,동원로얄듀크아파트,1,AC완속,부산광역시,북구,"부산광역시 북구 금곡대로 224 (화명동, 동원로얄듀크)",제한없음,35.22830749,129.0126636
422,차지비,동원로얄듀크아파트,2,AC완속,부산광역시,북구,"부산광역시 북구 금곡대로 224 (화명동, 동원로얄듀크)",제한없음,35.22830749,129.0126636
423,차지비,동원로얄듀크아파트,3,AC완속,부산광역시,북구,"부산광역시 북구 금곡대로 224 (화명동, 동원로얄듀크)",제한없음,35.22830749,129.0126636
424,차지비,동원로얄듀크아파트,4,AC완속,부산광역시,북구,"부산광역시 북구 금곡대로 224 (화명동, 동원로얄듀크)",제한없음,35.22830749,129.0126636
425,차지비,동의병원,1,AC완속,부산광역시,부산진구,"부산광역시 부산진구 양정로 62 (양정동, 동의의료원,동의병원,동의대학교한방병원)(산46-2 (동의의료원,동의병원,동의대학교한방병원))",제한없음,35.169949,129.0759208
426,차지비,동의병원,2,AC완속,부산광역시,부산진구,"부산광역시 부산진구 양정로 62 (양정동, 동의의료원,동의병원,동의대학교한방병원)(산46-2 (동의의료원,동의병원,동의대학교한방병원))",제한없음,35.169949,129.0759208
427,차지비,동의병원,3,AC완속,부산광역시,부산진구,"부산광역시 부산진구 양정로 62 (양정동, 동의의료원,동의병원,동의대학교한방병원)(산46-2 (동의의료원,동의병원,동의대학교한방병원))",제한없음,35.169949,129.0759208
428,차지비,동의병원,4,AC완속,부산광역시,부산진구,"부산광역시 부산진구 양정로 62 (양정동, 동의의료원,동의병원,동의대학교한방병원)(산46-2 (동의의료원,동의병원,동의대학교한방병원))",제한없음,35.169949,129.0759208
429,차지비,만덕3휴먼시아,1,AC완속,부산광역시,북구,"부산광역시 북구 만덕1로51번길 11 (만덕동, 만덕3휴먼시아) 201동~204동",제한없음,35.21351205,129.0313938
430,차지비,만덕3휴먼시아,2,AC완속,부산광역시,북구,"부산광역시 북구 만덕1로51번길 11 (만덕동, 만덕3휴먼시아) 201동~204동",제한없음,35.21351205,129.0313938
431,차지비,만덕3휴먼시아,3,AC완속,부산광역시,북구,"부산광역시 북구 만덕1로51번길 11 (만덕동, 만덕3휴먼시아) 201동~204동",제한없음,35.21351205,129.0313938
432,차지비,명륜2차아이파크1단지,1,AC완속,부산광역시,동래구,부산광역시 동래구 시실로 49112동 지하 4층 52기둥(782 명륜2차아이파크 112동 지하 4층 52기둥),제한없음,35.21641777,129.0872413
433,차지비,명륜2차아이파크1단지,2,AC완속,부산광역시,동래구,부산광역시 동래구 시실로 49112동 지하 4층 52기둥(782 명륜2차아이파크 112동 지하 4층 52기둥),제한없음,35.21641777,129.0872413
434,차지비,명륜2차아이파크1단지,3,AC완속,부산광역시,동래구,부산광역시 동래구 시실로 49112동 지하 4층 52기둥(782 명륜2차아이파크 112동 지하 4층 52기둥),제한없음,35.21641777,129.0872413
435,차지비,명륜2차아이파크1단지,4,AC완속,부산광역시,동래구,부산광역시 동래구 시실로 49112동 지하 4층 52기둥(782 명륜2차아이파크 112동 지하 4층 52기둥),제한없음,35.21641777,129.0872413
436,차지비,명륜2차아이파크2단지,1,AC완속,부산광역시,동래구,부산광역시 동래구 시실로 73-6지하3층 205동 벽면,제한없음,35.21446945,129.0909187
437,차지비,명륜2차아이파크2단지,2,AC완속,부산광역시,동래구,부산광역시 동래구 시실로 73-6지하3층 205동 벽면,제한없음,35.21446945,129.0909187
438,차지비,명지1차금강펜테리움센트럴파크,1,AC완속,부산광역시,강서구,"부산광역시 강서구 명지국제5로 59 (명지동, 명지1차금강펜테리움센트럴파크)104동1,2라인 지하",제한없음,35.10072192,128.9186693
439,차지비,명지1차금강펜테리움센트럴파크,2,AC완속,부산광역시,강서구,"부산광역시 강서구 명지국제5로 59 (명지동, 명지1차금강펜테리움센트럴파크)104동1,2라인 지하",제한없음,35.10072192,128.9186693
