,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
531,차지비,부산시 부산교육대학교,4,AC완속,부산광역시,연제구,부산광역시 연제구 교대로 24 주차장,제한없음,35.19569321,129.0770825
532,차지비,부산시 부산진구 대림아파트,1,AC완속,부산광역시,부산진구,"부산광역시 부산진구 성지곡로16번길 111동 지하1층 A3기둥, 2동 지하1층 C2기둥(349 대림아파트)",제한없음,35.18445459,129.0482644
533,차지비,부산시 부산진구 대림아파트,2,AC완속,부산광역시,부산진구,"부산광역시 부산진구 성지곡로16번길 111동 지하1층 A3기둥, 2동 지하1층 C2기둥(349 대림아파트)",제한없음,35.18445459,129.0482644
534,차지비,부산시 부산진구 대림아파트,3,AC완속,부산광역시,부산진구,"부산광역시 부산진구 성지곡로16번길 111동 지하1층 A3기둥, 2동 지하1층 C2기둥(349 대림아파트)",제한없음,35.18445459,129.0482644
535,차지비,부산시 부산진구 온모텔,1,AC완속,부산광역시,부산진구,부산광역시 부산진구 성지로153번길 16주차장,제한없음,35.18113966,129.0477538
536,차지비,부산시 부산진구 온모텔,2,AC완속,부산광역시,부산진구,부산광역시 부산진구 성지로153번길 16주차장,제한없음,35.18113966,129.0477538
537,차지비,부산시 북구 벽산강변타운,1,AC완속,부산광역시,북구,부산광역시 북구 양달로9번길 21104동 B1(188 벽산강변타운 104동 B1),제한없음,35.24539008,129.0135241
538,차지비,부산시 북구 벽산강변타운,2,AC완속,부산광역시,북구,부산광역시 북구 양달로9번길 21104동 B1(188 벽산강변타운 104동 B1),제한없음,35.24539008,129.0135241
539,차지비,부산시 북구 벽산강변타운,3,AC완속,부산광역시,북구,부산광역시 북구 양달로9번길 21104동 B1(188 벽산강변타운 104동 B1),제한없음,35.24539008,129.0135241
540,차지비,부산시 북구 아남프라자아파트,1,AC완속,부산광역시,북구,부산광역시 북구 금곡대로8번길 33B3(397-1 아남프라자 B3),제한없음,35.21150617,129.0072234
541,차지비,부산시 북구 아남프라자아파트,2,AC완속,부산광역시,북구,부산광역시 북구 금곡대로8번길 33B3(397-1 아남프라자 B3),제한없음,35.21150617,129.0072234
542,차지비,부산시 북구 코오롱하늘채2차,1,AC완속,부산광역시,북구,부산광역시 북구 화명신도시로 100203동 지하1층(2288 코오롱하늘채2차아파트 203동 지하1층),제한없음,35.2315576,129.0123123
543,차지비,부산시 북구 코오롱하늘채2차,2,AC완속,부산광역시,북구,부산광역시 북구 화명신도시로 100203동 지하1층(2288 코오롱하늘채2차아파트 203동 지하1층),제한없음,35.2315576,129.0123123
