"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,633,0,0,0,23,2754,28,1484,0,0,0,28,5300,1484,35,957,0,2185,1,35,2760,21,942,0,0,0,21,4474,942,22,557,3,3764,97,19,2391,12,636,0,0,0,12,5221,636,20,463,0,0,0,20,2348,15,649,0,0,0,15,4409,649,6,146,0,0,0,6,2439,22,979,0,0,0,22,4409,979
"경기도",109,2886,1,2308,23,108,2651,566,19589,0,0,0,566,3461,19589,99,2141,0,0,0,99,2163,612,25300,0,0,0,612,4134,25300,169,3541,0,0,0,169,2095,548,36201,0,0,0,548,6606,36201,151,3666,0,0,0,151,2428,759,33259,0,0,0,759,4382,33259,144,3494,1,2177,22,143,2428,708,31110,0,0,0,708,4394,31110,158,4356,0,0,0,158,2757,489,20196,0,0,0,489,4130,20196,160,4048,3,2119,71,156,2542,387,16657,0,0,0,387,4303,16657,137,3355,4,2100,75,134,2456,362,12348,0,0,0,362,3409,12348,114,3017,5,2066,112,109,2675,315,13941,0,0,0,315,4427,13941,122,3219,7,2066,142,115,2669,269,12195,0,0,0,269,4537,12195
"강원도",54,1151,0,0,0,54,2131,670,39738,0,0,0,670,5931,39738,42,918,0,0,0,42,2185,827,51597,0,0,0,827,6239,51597,26,528,0,0,0,26,2031,669,41779,0,0,0,669,6245,41779,16,318,0,0,0,16,1985,860,79782,0,0,0,860,9277,79782,24,476,0,0,0,24,1985,954,63183,0,0,0,954,6623,63183,48,1018,1,1853,19,47,2125,795,52025,0,0,0,795,6544,52025,73,1460,3,1918,62,70,2011,852,44808,0,0,0,852,5259,44808,45,889,3,1678,51,42,2003,1061,62535,0,0,0,1061,5895,62535,65,1382,11,1847,211,54,2179,922,49125,0,0,0,922,5327,49125,78,1562,7,1308,92,71,2069,906,47733,0,0,0,906,5270,47733
"충청북도",107,1809,33,1400,462,74,1820,207,12904,0,0,0,207,6234,12904,106,2898,17,2601,442,89,2759,204,11775,0,0,0,204,5772,11775,111,3315,4,2607,104,107,3001,168,7153,0,0,0,168,4258,7153,124,3841,3,3000,90,121,3100,247,17228,0,0,0,247,6975,17228,88,2735,8,3184,255,80,3100,204,15263,0,0,0,204,7482,15263,104,3086,1,2706,27,103,2970,295,20623,0,0,0,295,6991,20623,120,2669,1,2883,25,119,2225,309,20844,0,0,0,309,6753,20844,134,3925,0,0,0,134,2924,406,24895,0,0,0,406,6131,24895,162,3920,1,6951,71,161,2397,402,24364,0,0,0,402,6067,24364,173,4454,0,3728,14,173,2569,445,26036,0,0,0,445,5849,26036
"충청남도",1823,50155,20,2410,482,1803,2755,1431,87134,0,0,0,1431,6089,87134,2262,65446,58,3018,1750,2204,2890,1292,87662,0,0,0,1292,6785,87662,2258,72045,53,2719,1441,2205,3202,1191,61122,0,0,0,1191,5132,61122,2579,79143,1,2448,24,2578,3069,1553,109378,0,0,0,1553,7043,109378,1900,58281,5,2452,123,1895,3069,1606,92811,0,0,0,1606,5779,92811,1249,33498,0,0,0,1249,2682,1193,73155,0,0,0,1193,6132,73155,1173,32088,1,2185,16,1172,2736,869,55567,0,0,0,869,6394,55567,1258,34732,0,3764,16,1257,2761,750,44604,0,0,0,750,5951,44604,1489,42873,2,6951,146,1487,2873,778,56705,0,0,0,778,7286,56705,1286,36582,6,1026,62,1280,2854,727,54610,0,0,0,727,7507,54610
"전라북도",554,17161,2,2450,49,552,3100,287,19995,0,0,0,287,6967,19995,595,17715,1,2646,26,594,2978,345,22063,0,0,0,345,6395,22063,631,25939,1,3298,33,630,4112,219,14607,0,0,0,219,6670,14607,567,21847,0,0,0,567,3853,471,31025,0,0,0,471,6587,31025,586,22579,0,0,0,586,3853,433,37108,0,0,0,433,8570,37108,768,22416,4,2867,115,764,2919,338,19577,0,0,0,338,5792,19577,708,19589,28,2462,697,680,2780,359,21291,0,0,0,359,5930,21291,557,17508,2,3247,54,555,3143,457,42664,0,0,0,457,9339,42664,612,16774,1,309,3,611,2747,483,27281,0,0,0,483,5651,27281,594,18510,1,3343,22,593,3116,495,28561,0,0,0,495,5770,28561
"전라남도",755,20900,9,2450,221,746,2772,835,60588,0,0,0,835,7256,60588,753,21112,6,2646,159,747,2805,925,72085,0,0,0,925,7793,72085,707,20443,1,3298,33,706,2891,1054,92309,0,0,0,1054,8758,92309,548,15866,8,3255,260,540,2890,1037,90738,0,0,0,1037,8750,90738,639,18466,1,2785,28,638,2890,939,80285,0,0,0,939,8550,80285,887,25594,23,2867,659,864,2886,1100,60478,0,0,0,1100,5498,60478,826,24329,27,2867,778,799,2947,945,61396,0,0,0,945,6498,61396,831,26361,12,3247,376,819,3172,964,52035,0,0,0,964,5398,52035,761,22195,2,3343,58,759,2915,908,59349,0,0,0,908,6538,59349,683,19047,15,3343,517,667,2777,871,55099,0,0,0,871,6327,55099
"경상북도",255,7002,2,2498,50,253,2748,571,42248,0,0,0,571,7399,42248,270,7724,1,1728,17,269,2865,618,47771,0,0,0,618,7730,47771,390,11938,1,2283,23,389,3063,609,40846,0,0,0,609,6707,40846,463,13986,13,1971,256,450,3051,606,40208,0,0,0,606,6635,40208,506,15317,15,2248,337,491,3051,532,38783,0,0,0,532,7290,38783,348,10596,9,3376,304,339,3036,550,33149,0,0,0,550,6027,33149,380,12064,3,2980,86,377,3176,593,35815,0,0,0,593,6038,35815,325,9828,7,2349,159,318,3043,485,35919,0,0,0,485,7406,35919,352,14583,2,1411,24,350,4154,505,31310,0,0,0,505,6203,31310,347,13916,3,1214,31,344,4033,356,22102,0,0,0,356,6211,22102
"경상남도",2015,67531,1,2150,22,2014,3352,577,40523,0,0,0,577,7023,40523,2166,71440,1,1728,17,2165,3299,727,62333,0,0,0,727,8574,62333,2383,73605,14,2031,284,2369,3095,646,46712,0,0,0,646,7231,46712,2230,66276,0,0,0,2230,2972,589,43981,0,0,0,589,7467,43981,2280,67762,0,0,0,2280,2972,593,38397,0,0,0,593,6475,38397,2181,85110,11,3376,371,2170,3905,685,51437,0,0,0,685,7509,51437,2195,105018,1,2980,23,2194,4786,625,47549,0,0,0,625,7613,47549,2585,82400,6,3240,183,2580,3187,757,56078,0,0,0,757,7410,56078,2746,124754,2,3684,66,2744,4544,629,47710,0,0,0,629,7580,47710,2252,62146,2,3670,78,2250,2759,626,46794,0,0,0,626,7470,46794
"제주도",86,1457,55,1250,688,31,2480,15,974,0,0,0,15,6491,974,83,1253,52,1203,626,31,2024,15,987,0,0,0,15,6581,987,49,898,10,1095,110,39,2021,30,2165,0,0,0,30,7217,2165,52,1003,25,1509,377,27,2319,44,3102,0,0,0,44,7051,3102,142,2711,67,1450,972,75,2319,39,2570,0,0,0,39,6590,2570,139,2542,84,1210,1016,55,2775,48,3032,0,0,0,48,6317,3032,101,1893,55,1220,669,47,2625,86,5243,0,0,0,86,6088,5243,72,1082,55,1220,673,17,2471,71,4064,0,0,0,71,5745,4064,25,519,9,1204,107,16,2606,44,3541,0,0,0,44,8035,3541,30,712,4,1204,52,26,2575,43,3263,0,0,0,43,7504,3263
